ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"177.38.5.132","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","209","FÁBIO MENDES DIAS LTDA ME","4145","socks4","1905","83","2024-03-01T10:40:31.304Z","84","5235","6259"
"103.74.227.177","elite","AS135697","IN","Tachyon Communications Pvt Ltd","153","Tachyon Communications Pvt Ltd","56417","socks4","3496","1","2024-03-01T10:40:31.400Z","37","2383","6357"
"5.9.141.52","elite","AS24940","DE","Hetzner Online GmbH","17","Hetzner","30000","socks4","1450","1","2024-03-01T10:40:31.307Z","100","6279","6279"
"103.229.85.249","elite","AS133443","BD","Ashfakur Rahman Chowdhury","281","N/A","4145","socks4","4295","1","2024-03-01T10:40:31.310Z","99","6252","6338"
"186.251.255.93","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","297","Seanet Telecom Carazinho Eireli","31337","socks4","4890","1","2024-03-01T10:40:31.404Z","100","6297","6326"
"181.66.37.200","elite","AS6147","PE","Telefonica del Peru S.A.A.","195","Telefonica del Peru S.A.A","4153","socks4","4614","1","2024-03-01T10:40:31.397Z","71","4463","6293"
"119.18.152.139","elite","AS55685","ID","PT. Jala Lintas Media","198","N/A","4145","socks4","4408","1","2024-03-01T10:40:31.702Z","99","6374","6432"
"213.32.91.205","elite","AS16276","FR","OVH SAS","84","OVH","3128","socks4","5296","1","2024-03-01T10:40:27.002Z","78","4965","6325"
"177.125.161.38","elite","AS262346","BR","FP Telecomunicacoes Ltda","240","FP Telecomunicacoes Ltda","4145","socks4","94","86","2024-03-01T10:40:27.210Z","75","4637","6194"
"185.171.52.101","elite","AS44285","IR","Sefroyek Pardaz Engineering Co. LTD","102","Shahrad","4153","socks4","4585","1","2024-03-01T10:40:27.009Z","97","6143","6347"
"176.122.117.12","elite","AS50581","UA","Ukrainian Telecommunication Group LLC","57","Ukraine telecommunication group Ltd","45806","socks4","4293","1","2024-03-01T10:40:27.213Z","95","5977","6301"
"201.159.15.133","elite","AS263778","AR","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","233","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","5678","socks4","2510","2","2024-03-01T10:40:26.818Z","97","6207","6385"
"115.160.160.38","elite","AS9381","HK","HKBN Enterprise Solutions HK Limited","204","HKBNES","3128","socks4","618","1","2024-03-01T10:40:26.997Z","100","6336","6354"
"103.84.178.2","elite","AS136279","IN","Glo Internet Services Pvt Ltd","155","Glo  Pvt Ltd","4153","socks4","2116","84","2024-03-01T10:40:26.814Z","100","6275","6293"
"110.77.171.70","elite","AS131090","TH","CAT Telecom Public Company Limited","243","CAT BB","8080","socks4","4601","1","2024-03-01T10:40:22.908Z","70","4375","6281"
"218.1.142.84","elite","AS4812","CN","China Telecom","189","N/A","57114","socks4","5111","1","2024-03-01T10:40:22.903Z","25","1544","6254"
"144.91.107.252","elite","AS51167","DE","Contabo GmbH","17","Contabo GmbH","18940","socks4","3700","1","2024-03-01T10:40:18.797Z","100","6289","6292"
"118.179.87.170","elite","AS23956","BD","Dhakacom Limited","181","AmberIT","5678","socks4","685","2","2024-03-01T10:40:18.802Z","92","5809","6282"
"187.103.74.137","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","162","1telecom Servicos De Tecnologia EM Internet Ltda","5678","socks4","5298","1","2024-03-01T10:40:14.204Z","95","6030","6351"
"81.12.124.86","elite","AS42337","IR","Respina Networks & Beyond PJSC","133","Respina Networks","5678","socks4","3983","1","2024-03-01T10:40:14.103Z","78","4873","6268"
"82.137.244.59","elite","AS29256","SY","ISP-TARASSUL","55","N/A","4145","socks4","2589","1","2024-03-01T10:40:14.406Z","98","6090","6204"
"117.86.138.13","elite","AS4134","CN","Chinanet","190","Chinanet JS","20012","socks5","3904","1","2024-03-01T10:40:14.198Z","76","4792","6336"
"5.9.173.158","elite","AS24940","DE","Hetzner Online GmbH","80","N/A","30000","socks5","5182","2","2024-03-01T10:40:14.409Z","99","6294","6327"
"5.9.251.161","elite","AS24940","DE","Hetzner Online GmbH","17","N/A","1080","socks4","292","2","2024-03-01T10:40:09.999Z","87","5481","6277"
"43.249.68.245","elite","AS38794","TH","United Information Highway Co., Ltd.","182","BB BROADBAND CO., LTD.","1080","socks4","4092","2","2024-03-01T10:40:09.709Z","85","5377","6296"
"45.196.148.117","elite","AS7018","US","AT&T Services, Inc.","86","AQUA Networks Limited","5432","socks4","5495","1","2024-03-01T10:40:09.805Z","99","6200","6290"
"128.14.226.130","elite","AS135377","TW","Zenlayer Inc","214","UCLOUD","60080","socks4","786","2","2024-03-01T10:40:09.705Z","100","6316","6324"
"113.11.131.146","elite","AS9326","ID","CENTRIN","163","N/A","5678","socks4","4507","3","2024-03-01T10:40:09.797Z","99","6349","6382"
"24.78.155.155","elite","AS6327","CA","Shaw Communications Inc.","120","Shaw Communications Inc.","9090","socks5","2313","1","2024-03-01T10:40:09.795Z","100","6244","6255"
"200.41.148.2","elite","AS10834","AR","Telefonica de Argentina","221","Telefonica de Argentina","12000","socks4","5189","4","2024-03-01T10:40:09.707Z","82","5051","6171"
"162.12.217.9","elite","AS204902","FR","Weelax","119","XIWO","3629","socks4","4988","1","2024-03-01T10:40:05.510Z","99","6260","6350"
"54.39.46.86","elite","AS16276","CA","OVH SAS","82","OVH Hosting, Inc","3128","socks4","3410","1","2024-03-01T10:40:05.504Z","100","6256","6259"
"49.48.34.223","elite","AS45629","TH","Triple T Broadband Public Company Limited","282","Triple T Broadband Public Company Limited","4145","socks4","4105","1","2024-03-01T10:40:05.600Z","98","6243","6354"
"172.67.219.60","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2398","1","2024-03-01T10:40:05.605Z","100","6198","6198"
"168.205.218.122","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","204","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","3896","1","2024-03-01T10:40:05.899Z","84","5237","6236"
"213.5.17.84","elite","AS44724","RU","USSURIYSK-OCTOPUSNET","156","Octopusnet LTD","1080","socks5","3102","1","2024-03-01T10:40:01.296Z","92","5791","6313"
"91.215.61.181","elite","AS196705","UA","Ardinvest LTD","86","Nikita Sergienko","5678","socks4","2705","1","2024-03-01T10:40:01.299Z","99","6254","6291"
"104.21.80.83","elite","AS13335","CA","Cloudflare, Inc.","94","Cloudflare, Inc.","80","socks5","1186","1","2024-03-01T10:40:01.004Z","100","6305","6305"
